ID,Level,Category,Content,Type,Image ,,,,,
146,Beginner,Furniture,Sofa,word,file:///D:/jdk/FYP/Dataset_images/100-200/Sofa.svg,,,,,
147,Beginner,Furniture,Bed,word,file:///D:/jdk/FYP/Dataset_images/100-200/Bed.svg,,,,,
148,Beginner,Furniture,Shelf,word,file:///D:/jdk/FYP/Dataset_images/100-200/Shelf.svg,,,,,
149,Beginner,Furniture,Cabinet,word,file:///D:/jdk/FYP/Dataset_images/100-200/Cabinet-1.svg,,,,,
150,Beginner,Furniture,Desk,word,file:///D:/jdk/FYP/Dataset_images/100-200/Desk.svg,,,,,
151,Beginner,Numbers,one,word,file:///D:/jdk/FYP/Dataset_images/100-200/1.svg,,,,,
152,Beginner,Numbers,two,word,file:///D:/jdk/FYP/Dataset_images/100-200/2.svg,,,,,
153,Beginner,Numbers,three,word,file:///D:/jdk/FYP/Dataset_images/100-200/3.svg,,,,,
154,Beginner,Numbers,four,word,file:///D:/jdk/FYP/Dataset_images/100-200/4.svg,,,,,
155,Beginner,Numbers,five,word,file:///D:/jdk/FYP/Dataset_images/100-200/5.svg,,,,,
156,Beginner,Numbers,six,word,file:///D:/jdk/FYP/Dataset_images/100-200/6.svg,,,,,
157,Beginner,Numbers,seven,word,file:///D:/jdk/FYP/Dataset_images/100-200/7.svg,,,,,
158,Beginner,Numbers,eight,word,file:///D:/jdk/FYP/Dataset_images/100-200/8.svg,,,,,
159,Beginner,Numbers,nine,word,file:///D:/jdk/FYP/Dataset_images/100-200/9.svg,,,,,
160,Beginner,Numbers,ten,word,file:///D:/jdk/FYP/Dataset_images/100-200/10.svg,,,,,
161,Beginner,vegetable,Carrot,word,,,,,,
162,Beginner,vegetable,Potato,word,file:///D:/jdk/FYP/Dataset_images/100-200/Potato.svg,,,,,
163,Beginner,vegetable,Tomato,word,file:///D:/jdk/FYP/Dataset_images/100-200/Tomato.svg,,,,,
164,Beginner,vegetable,Onion,word,file:///D:/jdk/FYP/Dataset_images/100-200/Onion.svg,,,,,
165,Beginner,vegetable,Cucumber,word,file:///D:/jdk/FYP/Dataset_images/100-200/Cucumber.svg,,,,,
166,Beginner,Fruits,Apple,word,file:///D:/jdk/FYP/Dataset_images/100-200/Apple.svg,,,,,
